sggCd,gu,contract_month,avg_sale_price,med_sale_price,avg_sale_price_per_m2,med_sale_price_per_m2,sale_count,avg_jeonse_deposit,med_jeonse_deposit,avg_jeonse_deposit_per_m2,med_jeonse_deposit_per_m2,jeonse_count,total_rent_count,monthly_count,monthly_ratio,jeonse_rate,gap_rate,sale_growth_1m,jeonse_growth_1m,growth_gap_1m,sale_volume_growth_1m,rent_volume_growth_1m
11290,성북구,2024-09,81578.2722513089,79000.0,1102.442856778743,1063.3270321361058,191,49244.857142857145,49000.0,677.9401764951573,658.5959088768515,336,547,211,0.3857404021937843,0.6149435975992885,0.3850564024007115,-0.008858426414295906,0.0015422329068379703,-0.010400659321133876,-0.48930481283422456,-0.1506211180124224
11290,성북구,2024-10,75579.81651376147,75500.0,1029.7710636516035,961.7321248741189,218,48460.84222737819,48000.0,666.0272380022024,658.9785831960461,431,666,235,0.35285285285285284,0.646772143354317,0.353227856645683,-0.06591887523266382,-0.017572256234381856,-0.048346618998281965,0.1413612565445026,0.21755027422303463
11290,성북구,2024-11,79406.96026490066,78500.0,1094.1899158599333,1075.636192271442,151,49182.26119402985,49150.0,693.6929175489388,686.5296291046179,402,657,255,0.3881278538812785,0.6339785328799704,0.3660214671200296,0.06255647928181074,0.0415383605477182,0.02101811873409254,-0.30733944954128445,-0.013513513513513487
11290,성북구,2024-12,73368.87218045113,73400.0,1049.3354184170028,1042.535446205171,133,49146.07980049875,49000.0,682.2967306339085,666.9045292821106,401,716,315,0.4399441340782123,0.650217955725922,0.349782044274078,-0.04099333835267438,-0.016428287829861388,-0.024565050522812992,-0.11920529801324509,0.08980213089802125
11290,성북구,2025-01,79196.94871794872,79000.0,1104.1846860139597,1072.7788279773156,195,47619.41972477064,48000.0,658.3526747654153,650.5963845413387,436,727,291,0.40027510316368636,0.5962342016732988,0.40376579832670123,0.05227048152029501,-0.03509331760427359,0.0873637991245686,0.46616541353383467,0.015363128491620026
11290,성북구,2025-02,79979.72972972973,78700.0,1110.3777136046174,1059.322033898305,259,47252.295112781954,47000.0,662.5892462615919,641.7041122859464,532,867,335,0.3863898500576701,0.5967241940678272,0.4032758059321728,0.005608688174271181,0.006435109415612539,-0.0008264212413413574,0.32820512820512815,0.19257221458046758
11290,성북구,2025-03,83087.63796909493,80900.0,1168.956612405152,1141.5793809579852,453,47169.88644688645,47000.0,657.0879232943099,643.2144226805851,546,824,278,0.33737864077669905,0.5621148948739322,0.4378851051260678,0.05275583081577717,-0.008302765247581556,0.06105859606335873,0.7490347490347491,-0.049596309111880066
11290,성북구,2025-04,81160.54913294797,80000.0,1139.1986186234283,1092.5241314386808,346,47672.250564334085,46000.0,652.6221247087086,639.1545042778057,443,728,285,0.3914835164835165,0.5728782619990503,0.42712173800094966,-0.02545688476879915,-0.0067963485970218285,-0.01866053617177732,-0.23620309050772625,-0.11650485436893199
11290,성북구,2025-05,82665.57894736843,80000.0,1149.593557978002,1102.6936026936028,475,48645.53177966102,48000.0,655.9905689543476,647.2491931794459,472,843,371,0.4400948991696323,0.5706282576149407,0.42937174238505926,0.009124782267674103,0.005161400630023794,0.0039633816376503095,0.3728323699421965,0.15796703296703307
11290,성북구,2025-06,88225.2655538695,86700.0,1199.6950053163732,1153.3482405554903,659,47889.60310421286,48000.0,681.3208692679374,669.0081953503931,451,773,322,0.4165588615782665,0.5679117327726686,0.4320882672273314,0.04358187899599364,0.03861381780833595,0.004968061187657691,0.3873684210526316,-0.08303677342823246
11290,성북구,2025-07,82641.81034482758,81750.0,1115.220378559163,1040.521898607707,232,49753.66950959488,50000.0,663.5764298778331,647.7159053017673,469,728,259,0.3557692307692308,0.5950182068365334,0.4049817931634666,-0.0704134187296489,-0.026044174177682566,-0.044369244551966336,-0.6479514415781487,-0.05821474773609314
11290,성북구,2025-08,73757.84730538922,78000.0,1122.5035112072242,1036.427355415348,334,48084.32786885246,48000.0,652.8082137416396,650.2639538095308,366,606,240,0.39603960396039606,0.5815645182611152,0.4184354817388848,0.006530666752584624,-0.016227544637436808,0.022758211390021432,0.43965517241379315,-0.16758241758241754
11290,성북구,2025-09,90506.90625,88250.0,1254.6210194774153,1201.4887421019505,544,48631.38770685579,49500.0,658.710098794001,647.9736098020735,423,714,291,0.40756302521008403,0.5250271504843528,0.4749728495156472,0.11769897105096994,0.00904076408373311,0.10865820696723683,0.6287425149700598,0.17821782178217815
11290,성북구,2025-10,92035.89494163424,90000.0,1270.404507257385,1217.200648073083,514,50901.72335025381,51000.0,684.3496227850554,665.3878138658965,394,620,226,0.36451612903225805,0.5386863938813197,0.46131360611868033,0.01258028323688043,0.038923836203508255,-0.026343552966627826,-0.05514705882352944,-0.13165266106442575
11290,성북구,2025-11,91906.76328502415,90000.0,1211.4748665798804,1157.4275519972152,207,53590.720657276994,53250.0,707.6050338685983,700.18191608295,426,725,299,0.4124137931034483,0.5840856078725273,0.4159143921274727,-0.04638651731858612,0.03398176941911912,-0.08036828673770524,-0.5972762645914397,0.1693548387096775
