sggCd,gu,contract_month,avg_sale_price,med_sale_price,avg_sale_price_per_m2,med_sale_price_per_m2,sale_count,avg_jeonse_deposit,med_jeonse_deposit,avg_jeonse_deposit_per_m2,med_jeonse_deposit_per_m2,jeonse_count,total_rent_count,monthly_count,monthly_ratio,jeonse_rate,gap_rate,sale_growth_1m,jeonse_growth_1m,growth_gap_1m,sale_volume_growth_1m,rent_volume_growth_1m,gap_score,sale_growth_score,growth_gap_score,monthly_ratio_score,jeonse_growth_score,sale_volume_change_score,rent_volume_change_score,user_risk_score,investor_risk_score,total_risk_score,user_risk_grade,investor_risk_grade,risk_grade,risk_target,warning_flag,resident_risk_index,investor_risk_index,resident_risk_grade,monthly_ratio_diff,monthly_shift_abs,sale_stagnation_flag,jeonse_stagnation_flag,volume_drop_flag,high_gap_flag,rent_shift_flag,stagnation_score,stagnation_level,kmeans_cluster,logistic_regression_pred,logistic_regression_risk_proba,random_forest_pred,random_forest_risk_proba
11440,마포구,2024-09,128384.32835820896,124750.0,1651.3191397849178,1566.000153982171,134,57665.92277227723,58640.0,747.8861596673594,788.6064030131828,505,848,343,0.4044811320754717,0.452902253506715,0.5470977464932849,-0.0347512325437733,-0.0836372910203412,0.0488860584765679,-0.5577557755775577,-0.1083070452155625,0.8125714285714286,0.2091428571428571,0.7725714285714286,0.3245714285714285,0.0422857142857142,0.8068571428571428,0.4754285714285714,0.5034857142857143,0.6325142857142857,0.5680000000000001,보통,주의,주의,0,0,0.5034857142857143,0.6325142857142857,보통,-0.0529321171358846,0.0529321171358846,0,0,1,1,0,0.45,3단계_안정정체,4,0,0.013773545654976566,0,0.14
11440,마포구,2024-10,126111.320754717,120000.0,1639.558876917558,1597.7719143946058,159,66203.77165354331,63630.0,885.198054319338,880.7318129968501,508,879,371,0.422070534698521,0.5399001321523439,0.4600998678476561,-0.0071217383629984,0.1835999943000033,-0.1907217326630017,0.1865671641791044,0.0365566037735849,0.4948571428571429,0.3862857142857143,0.0262857142857142,0.4331428571428571,0.984,0.4057142857142857,0.1817142857142857,0.4136571428571428,0.3409142857142857,0.3772857142857143,안정,안정,안정,0,0,0.4136571428571428,0.3409142857142857,안정,0.0175894026230493,0.0175894026230493,1,0,0,0,0,0.25,2단계_완만정체,1,0,6.133634684037571e-05,0,0.0
11440,마포구,2024-11,133604.9079754601,134500.0,1780.1433220944969,1695.2699874424443,163,65118.48453608248,63000.0,884.3329255179324,875.4377188594298,485,849,364,0.4287396937573616,0.4967762508455982,0.5032237491544018,0.0857452862206715,-0.0009773279518455,0.0867226141725171,0.0251572327044025,-0.0341296928327644,0.6662857142857143,0.9154285714285716,0.8925714285714286,0.4765714285714286,0.4274285714285714,0.0571428571428571,0.1725714285714285,0.7214857142857144,0.6928,0.7071428571428572,높음,높음,높음,1,0,0.7214857142857144,0.6928,높음,0.0066691590588405,0.0066691590588405,0,1,0,0,0,0.2,1단계_활발관찰,2,1,0.9802612745002196,1,0.98
11440,마포구,2024-12,132886.71875,122500.0,1845.5938916366335,1764.3261302163228,128,59998.053872053875,60000.0,821.5693883935729,826.4906160607234,594,1096,502,0.458029197080292,0.4451517704499024,0.5548482295500976,0.0367670224805991,-0.0709727471558298,0.1077397696364289,-0.214723926380368,0.2909305064782097,0.8285714285714286,0.7211428571428572,0.9222857142857144,0.6194285714285714,0.0548571428571428,0.4525714285714285,0.9051428571428572,0.7117142857142857,0.7720000000000001,0.741857142857143,높음,높음,높음,1,1,0.7117142857142857,0.7720000000000001,높음,0.0292895033229304,0.0292895033229304,0,0,1,1,0,0.45,3단계_안정정체,3,1,0.9729286301319104,1,0.97
11440,마포구,2025-01,135057.72455089822,128000.0,1860.7482913613192,1795.204913192394,167,62495.293413173655,61500.0,853.4837023534427,851.4190317195325,501,1168,667,0.5710616438356164,0.4586776762423014,0.5413223237576985,0.0082111236894302,0.0388455490318015,-0.0306344253423713,0.3046875,0.0656934306569343,0.7942857142857143,0.5165714285714286,0.3074285714285714,0.9405714285714286,0.808,0.5817142857142857,0.2891428571428571,0.6508,0.6103999999999999,0.6306,높음,주의,주의,1,0,0.6508,0.6103999999999999,높음,0.1130324467553244,0.1130324467553244,1,0,0,1,1,0.55,3단계_안정정체,4,1,0.6534630762303526,0,0.21666666666666667
11440,마포구,2025-02,142970.4802259887,142750.0,1934.073672168382,1902.8530513246756,354,63425.87671232877,63000.0,860.247000079465,825.0825082508251,657,1137,480,0.4221635883905013,0.4447850216145081,0.5552149783854918,0.0394063942702418,0.0079243431448929,0.0314820511253488,1.1197604790419162,-0.0265410958904109,0.8297142857142857,0.7394285714285714,0.6891428571428572,0.4342857142857143,0.5234285714285715,0.9691428571428572,0.1382857142857143,0.6890857142857143,0.7509142857142856,0.72,높음,높음,높음,1,0,0.6890857142857143,0.7509142857142856,높음,-0.1488980554451151,0.1488980554451151,0,1,0,1,1,0.5,3단계_안정정체,3,1,0.9584521310186773,1,1.0
11440,마포구,2025-03,144281.74603174604,144750.0,1950.9297221433856,1947.6158495634656,567,66017.23387096774,65000.0,894.1605236727031,882.9242481588292,620,1099,479,0.4358507734303912,0.4583253376704596,0.5416746623295404,0.0087153091516443,0.0394230071015713,-0.030707697949927,0.6016949152542372,-0.0334212840809147,0.7988571428571428,0.5222857142857142,0.3062857142857143,0.5154285714285715,0.8148571428571428,0.832,0.1691428571428571,0.5902857142857142,0.5953714285714284,0.5928285714285713,주의,주의,주의,0,0,0.5902857142857142,0.5953714285714284,주의,0.0136871850398899,0.0136871850398899,1,0,0,1,0,0.45,3단계_안정정체,4,0,0.23100650821026736,0,0.1
11440,마포구,2025-04,141626.3323782235,140500.0,1896.865839754188,1865.9608207843,349,66365.7298657718,65000.0,890.4813983187073,862.4359587668968,596,1088,492,0.4522058823529412,0.469448803207982,0.530551196792018,-0.0277118554172215,-0.0041146139385398,-0.0235972414786816,-0.3844797178130511,-0.0100090991810737,0.7645714285714286,0.2445714285714285,0.3394285714285714,0.5794285714285714,0.4011428571428571,0.6525714285714286,0.0525714285714285,0.4854285714285714,0.5245714285714286,0.505,보통,보통,보통,0,0,0.4854285714285714,0.5245714285714286,보통,0.0163551089225499,0.0163551089225499,0,1,1,1,0,0.65,4단계_신중정체,4,0,0.007143843286129646,0,0.006666666666666667
11440,마포구,2025-05,150753.62473347547,147000.0,1957.447355560816,1929.165017807677,469,65091.80917431193,63000.0,876.7553049156052,843.6558419819216,545,1009,464,0.4598612487611496,0.447907476246998,0.552092523753002,0.0319376913943891,-0.0154142393417964,0.0473519307361856,0.3438395415472779,-0.072610294117647,0.8228571428571428,0.6914285714285714,0.7622857142857142,0.6308571428571429,0.2937142857142857,0.6148571428571429,0.3257142857142857,0.6961714285714286,0.7414285714285713,0.7187999999999999,높음,높음,높음,1,0,0.6961714285714286,0.7414285714285713,높음,0.0076553664082084,0.0076553664082084,0,0,0,1,0,0.2,1단계_활발관찰,4,1,0.9197866833086588,1,0.97
11440,마포구,2025-06,155099.72602739726,149950.0,2002.2181349344016,1950.650216738913,730,68798.72592592593,65050.0,917.7321202529124,902.039271583807,540,966,426,0.4409937888198758,0.4583577105013984,0.5416422894986015,0.0228720222009539,0.0467368889672719,-0.0238648667663179,0.556503198294243,-0.0426164519326065,0.7977142857142857,0.632,0.336,0.536,0.8548571428571429,0.8045714285714286,0.2045714285714285,0.6304000000000001,0.6236571428571429,0.6270285714285715,주의,주의,주의,1,0,0.6304000000000001,0.6236571428571429,주의,-0.0188674599412738,0.0188674599412738,0,0,0,1,0,0.2,1단계_활발관찰,4,0,0.4765876464279519,1,0.79
11440,마포구,2025-07,128133.09352517984,120000.0,1637.8403743712156,1567.4908316573997,139,67292.27606177607,65000.0,884.4307312341233,843.4008763024486,518,951,433,0.455310199789695,0.5399981250148786,0.4600018749851213,-0.1819870443712288,-0.03628661161997,-0.1457004327512587,-0.8095890410958904,-0.0155279503105589,0.4937142857142857,0.0102857142857142,0.0457142857142857,0.5988571428571429,0.1314285714285714,0.9211428571428572,0.0788571428571428,0.2628,0.3382857142857143,0.3005428571428571,낮음,안정,낮음,0,0,0.2628,0.3382857142857143,낮음,0.0143164109698192,0.0143164109698192,0,0,1,0,0,0.25,2단계_완만정체,1,0,5.989039540935888e-10,0,0.0
